Name,Hangzhou,Huzhou,Jiaxing,Jinhua,Lishui,Ningbo,Shaoxing,Taizhou,Wenzhou
SRR14852250.result.fasta,1,0,0,0,0,0,0,0,0
SRR14852202.result.fasta,1,0,0,0,0,0,0,0,0
SRR14862575.result.fasta,1,0,0,0,0,0,0,0,0
SRR14852240.result.fasta,1,0,0,0,0,0,0,0,0
SRR14862493.result.fasta,1,0,0,0,0,0,0,0,0
SRR14852248.result.fasta,1,0,0,0,0,0,0,0,0
SRR14852249.result.fasta,1,0,0,0,0,0,0,0,0
SRR14862494.result.fasta,1,0,0,0,0,0,0,0,0
SRR14852252.result.fasta,1,0,0,0,0,0,0,0,0
SRR14852153.result.fasta,1,0,0,0,0,0,0,0,0
SRR14852251.result.fasta,1,0,0,0,0,0,0,0,0
N_789,1,5.04E-19,6.07E-24,9.20E-25,2.27E-19,6.07E-22,2.91E-19,2.04E-23,3.62E-23
SRR14852374.result.fasta,1,0,0,0,0,0,0,0,0
SRR14852402.result.fasta,1,0,0,0,0,0,0,0,0
SRR14852404.result.fasta,1,0,0,0,0,0,0,0,0
SRR14852405.result.fasta,1,0,0,0,0,0,0,0,0
SRR14852406.result.fasta,1,0,0,0,0,0,0,0,0
SRR14852409.result.fasta,1,0,0,0,0,0,0,0,0
SRR14862540.result.fasta,1,0,0,0,0,0,0,0,0
SRR14862542.result.fasta,1,0,0,0,0,0,0,0,0
N_780,1,6.65E-39,6.45E-51,5.13E-53,8.38E-40,9.63E-47,1.93E-39,1.06E-49,3.65E-49
SRR14852436.result.fasta,1,0,0,0,0,0,0,0,0
SRR14862528.result.fasta,1,0,0,0,0,0,0,0,0
SRR14852449.result.fasta,1,0,0,0,0,0,0,0,0
SRR14852438.result.fasta,1,0,0,0,0,0,0,0,0
SRR14852407.result.fasta,1,0,0,0,0,0,0,0,0
SRR14852439.result.fasta,1,0,0,0,0,0,0,0,0
SRR14852440.result.fasta,1,0,0,0,0,0,0,0,0
SRR14862538.result.fasta,1,0,0,0,0,0,0,0,0
SRR14862551.result.fasta,1,0,0,0,0,0,0,0,0
SRR14862529.result.fasta,1,0,0,0,0,0,0,0,0
SRR14862537.result.fasta,1,0,0,0,0,0,0,0,0
SRR14852441.result.fasta,1,0,0,0,0,0,0,0,0
SRR14862539.result.fasta,1,0,0,0,0,0,0,0,0
SRR14852442.result.fasta,1,0,0,0,0,0,0,0,0
SRR14852421.result.fasta,1,0,0,0,0,0,0,0,0
SRR14852384.result.fasta,1,0,0,0,0,0,0,0,0
SRR14862541.result.fasta,1,0,0,0,0,0,0,0,0
SRR14852397.result.fasta,1,0,0,0,0,0,0,0,0
SRR14852376.result.fasta,1,0,0,0,0,0,0,0,0
SRR14852424.result.fasta,1,0,0,0,0,0,0,0,0
SRR14852403.result.fasta,1,0,0,0,0,0,0,0,0
SRR14852359.result.fasta,1,0,0,0,0,0,0,0,0
SRR14852401.result.fasta,1,0,0,0,0,0,0,0,0
N_289,0.999616306,4.69E-05,3.58E-06,1.50E-08,9.64E-06,2.96E-08,0.000323407,4.53E-08,4.32E-08
N_221,2.60E-05,7.56E-06,0.999956973,5.93E-07,3.33E-06,5.84E-07,9.87E-07,1.78E-06,2.22E-06
HD0028221-ZZM20230051.result.fasta,0,0,1,0,0,0,0,0,0
